2023-11-15 12:42:46.143 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:42:46.143 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test"],"field":{"test":["id","testdocno","test001"]},"basicInfo":"Y","primaryTable":"test","where":" testdocno = 'undefined'","orderby":["test001","testdocno"]}]
2023-11-15 12:42:46.143 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:42:46.144 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:42:46.144 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:42:46.148 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:42:46.148663800
2023-11-15 12:42:46.149 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:42:46.149 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据查询成功","payload":[]}
2023-11-15 12:42:49.408 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:42:49.408341
2023-11-15 12:42:49.409 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/updData
2023-11-15 12:42:49.409 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:42:49.410 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:42:49.410 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:42:49.410 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test","testdetail"],"test":{"id":0,"testdocno":"test003","test001":"2023-11-15"},"testdetail":[{"testdetaildocno":"test003","testdetail001":"项次1","testdetail002":"选项1","testdetail003":"2023-11-15"},{"testdetaildocno":"test003","testdetail001":"项次2","testdetail002":"选项2","testdetail003":"2023-11-16"},{"testdetaildocno":"test003","testdetail001":"项次3","testdetail002":"选项1","testdetail003":"2023-11-17"},{"testdetaildocno":"test003","testdetail001":"项次4","testdetail002":"选项3","testdetail003":"2023-11-18"}]}]
2023-11-15 12:42:49.411 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:42:49.411 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:42:49.411 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:42:49.479 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:42:49.479185200
2023-11-15 12:42:49.480 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:42:49.480 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据更新成功","payload":null}
2023-11-15 12:43:01.021 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:43:01.021600700
2023-11-15 12:43:01.022 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selData
2023-11-15 12:43:01.022 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:43:01.023 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:43:01.023 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:43:01.023 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test"],"field":{"test":["id","testdocno","test001"]},"basicInfo":"Y","primaryTable":"test","where":"1 = 1 and test001 = '2023-11-15'","orderby":["test001","testdocno"]}]
2023-11-15 12:43:01.023 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:43:01.024 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:43:01.024 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:43:01.029 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:43:01.029610300
2023-11-15 12:43:01.029 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:43:01.030 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据查询成功","payload":[]}
2023-11-15 12:43:03.080 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:43:03.080584600
2023-11-15 12:43:03.081 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/selData
2023-11-15 12:43:03.082 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:43:03.082 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:43:03.083 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:43:03.083 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test"],"field":{"test":["id","testdocno","test001"]},"basicInfo":"Y","primaryTable":"test","where":" testdocno = 'undefined'","orderby":["test001","testdocno"]}]
2023-11-15 12:43:03.084 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:43:03.084 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:43:03.084 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:43:03.090 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:43:03.090721900
2023-11-15 12:43:03.091 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:43:03.092 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据查询成功","payload":[]}
2023-11-15 12:43:05.494 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:43:05.494144300
2023-11-15 12:43:05.496 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/updData
2023-11-15 12:43:05.496 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:59 - 请求方式 : POST
2023-11-15 12:43:05.497 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:60 - 请求ip : 127.0.0.1
2023-11-15 12:43:05.498 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:61 - 请求内容类型 : application/json;charset=UTF-8
2023-11-15 12:43:05.499 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:62 - 请求参数 : [{"table":["test","testdetail"],"test":{"id":0,"testdocno":"test003","test001":"2023-11-15"},"testdetail":[{"testdetaildocno":"test003","testdetail001":"项次1","testdetail002":"选项1","testdetail003":"2023-11-15"},{"testdetaildocno":"test003","testdetail001":"项次2","testdetail002":"选项2","testdetail003":"2023-11-16"},{"testdetaildocno":"test003","testdetail001":"项次3","testdetail002":"选项1","testdetail003":"2023-11-17"},{"testdetaildocno":"test003","testdetail001":"项次4","testdetail002":"选项3","testdetail003":"2023-11-18"}]}]
2023-11-15 12:43:05.500 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:64 - 浏览器 : CHROME8
2023-11-15 12:43:05.501 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:65 - 浏览器版本 : 85.0.4183.83
2023-11-15 12:43:05.502 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:66 - 操作系统: WINDOWS_10
2023-11-15 12:43:05.539 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:86 - 请求结束时间 : 2023-11-15T12:43:05.539764
2023-11-15 12:43:05.541 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:87 - 请求耗时 : 0秒
2023-11-15 12:43:05.541 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doAfterReturning:89 - 请求返回 : {"code":200,"inform":null,"msg":"数据更新成功","payload":null}
2023-11-15 12:45:41.294 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:57 - 请求开始时间：2023-11-15T12:45:41.294128200
2023-11-15 12:45:41.294 [XNIO-1 task-2] INFO  lab.base.util.aspect.LogAspect.doBefore:58 - 请求Url : http://localhost:8080/sql/insData
